E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=2 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=493.11
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=3 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=491.31
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=4 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=489.98
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=0 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.34
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=1 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.31
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=2 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.40
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=3 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.31
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=4 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.24
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=32768 round=0 slots=147 depth=3 nodes=226 footprint_bytes=3702784 ns_per_lookup=88.32
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=32768 round=1 slots=147 depth=3 nodes=226 footprint_bytes=3702784 ns_per_lookup=88.25
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=32768 round=2 slots=147 depth=3 nodes=226 footprint_bytes=3702784 ns_per_lookup=88.29
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=32768 round=3 slots=147 depth=3 nodes=226 footprint_bytes=3702784 ns_per_lookup=88.40
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=32768 round=4 slots=147 depth=3 nodes=226 footprint_bytes=3702784 ns_per_lookup=88.31
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=524288 round=0 slots=147 depth=3 nodes=3593 footprint_bytes=58867712 ns_per_lookup=128.29
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=524288 round=1 slots=147 depth=3 nodes=3593 footprint_bytes=58867712 ns_per_lookup=128.08
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=524288 round=2 slots=147 depth=3 nodes=3593 footprint_bytes=58867712 ns_per_lookup=127.95
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=524288 round=3 slots=147 depth=3 nodes=3593 footprint_bytes=58867712 ns_per_lookup=128.10
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=524288 round=4 slots=147 depth=3 nodes=3593 footprint_bytes=58867712 ns_per_lookup=128.28
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=8388608 round=0 slots=147 depth=4 nodes=57459 footprint_bytes=941408256 ns_per_lookup=579.87
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=8388608 round=1 slots=147 depth=4 nodes=57459 footprint_bytes=941408256 ns_per_lookup=581.74
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=8388608 round=2 slots=147 depth=4 nodes=57459 footprint_bytes=941408256 ns_per_lookup=582.06
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=8388608 round=3 slots=147 depth=4 nodes=57459 footprint_bytes=941408256 ns_per_lookup=577.91
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=8388608 round=4 slots=147 depth=4 nodes=57459 footprint_bytes=941408256 ns_per_lookup=573.71
E7RESULT name=xdev entry_bytes=67 e20_ref=466.99 e128_median=489.98 deviation=0.0492 tol=0.15 ok=true
E7RESULT name=xdev entry_bytes=111 e20_ref=547.50 e128_median=579.87 deviation=0.0591 tol=0.15 ok=true
E7RESULT name=verdict pair=inode bing_median=612.09 jia_median=667.30 ratio_median=1.0885 ratio_min=1.0283 ratio_max=1.1017 rounds_jia_slower=5/5 verdict=jia_slower_every_round
E7RESULT name=verdict pair=ledger bing_median=563.89 jia_median=585.11 ratio_median=1.0357 ratio_min=1.0202 ratio_max=1.0641 rounds_jia_slower=5/5 verdict=jia_slower_every_round
E7RESULT name=done emitted=134
